trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-155.58701382565496,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,9,-60.01335890016037,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-54.13269955396679,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-37.980277499531326,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-62.11038924902011,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-81.14010775932312,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,-66.89954272648149,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,11,-10.681209096341895,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-122.73403854964154,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-28.040905778210554,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-38.81755930446675,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,7,-46.67416881321163,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,17,6.5958123261804715,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-26.705537068819737,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,15.33128150827105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-11.981291198436962,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,13.623717884559701,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,8,22.834897815080637,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-57.739369140824174,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,6.446071548855961,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,5,-16.71505334963915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-15.323278632090513,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,13,-4.470808819656369,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,12.462572936950135,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,13,39.71869061412196,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,8.70163619390231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,-8.85668781651438,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,6,-12.624048456207573,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,5.891951929020776,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,24.628846427881978,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
