trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,12,13.0690993614001,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.2, 'e': 0.9920319148370607}",25,0,-93.36958879910968,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9841273200552851}",30,0,-84.29392965708675,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.9762857097579093}",20,0,-74.71319234188587,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.9685065820791976}",25,3,-132.13605753143062,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 3}",1
6,False,"{'a': 0.2, 'e': 0.9607894391523232}",25,1,-93.38876117100733,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.2, 'e': 0.9531337870775047}",20,0,-129.0860892560359,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.9455391358903963}",25,0,-105.93724552643076,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9380049995307295}",25,0,-101.37032154071298,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9305308958112057}",25,0,-143.92639930054168,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.9231163463866358}",20,0,-63.49583500476125,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.9157608767233256}",25,0,-220.77011115728433,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
13,False,"{'a': 0.2, 'e': 0.9084640160687062}",20,0,-181.78209080139126,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.2, 'e': 0.9012252974212047}",20,0,-166.73268059112513,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.2, 'e': 0.8940442575003572}",20,0,-39.02229571635241,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.8869204367171575}",20,0,-89.0311033515709,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.8798533791446438}",20,0,-46.4717052748244,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
