trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.54358386259496,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,24,-1.2108012266777917,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.53119231483353,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.92758722028125,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.07385832068448,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.61047540109007,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.25071802814509,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.06428330552254,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.914333256764,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.72309502913112,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.827818238941546,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.43163072885915,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,16,-33.30897871764545,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.81049522354417,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.94698667427537,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.76365597834564,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.74126336958614,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.77086764224751,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.16850116935584,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,10,-11.763639943040584,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.394604177490127,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.1415403989986,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-163.05007783222854,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.61567319897728,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-223.40044960736577,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-155.64079219881802,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-196.19265818112447,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.94060697919103,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.10994821975399,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.25925056386063,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
